epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.64,1.50907,1.66373,1.74904,0.8218,0.82498,0.77379,0.25486,2.15021,1.89446,2.06044,0.00333148,0.00333148,0.0700167
2,515.589,1.41645,1.28861,1.67329,0.82503,0.84458,0.78698,0.29304,2.13632,1.59334,1.98534,0.00659883,0.00659883,0.0399507
3,747.083,1.43933,1.26811,1.6981,0.83828,0.81313,0.77611,0.27989,2.25653,1.73076,2.16841,0.00980018,0.00980018,0.00981876
4,977.517,1.43377,1.23995,1.70236,0.86257,0.81996,0.80475,0.28655,2.27735,1.40364,2.11531,0.009703,0.009703,0.009703
5,1208.34,1.3801,1.15693,1.65915,0.87856,0.85962,0.83399,0.34506,2.08718,1.58686,1.96369,0.009604,0.009604,0.009604
6,1439.8,1.35624,1.10624,1.63919,0.92688,0.90428,0.91252,0.44572,1.78131,0.98272,1.7138,0.009505,0.009505,0.009505
7,1671.74,1.32473,1.06502,1.60937,0.92919,0.89836,0.89098,0.41223,1.90352,1.23785,1.78114,0.009406,0.009406,0.009406
8,1901.23,1.29718,1.02467,1.59277,0.92874,0.90383,0.91443,0.46338,1.73036,1.06915,1.64028,0.009307,0.009307,0.009307
9,2129.11,1.28585,1.00041,1.57977,0.90674,0.88192,0.88456,0.41315,1.93421,0.92556,1.79507,0.009208,0.009208,0.009208
10,2358.96,1.26964,0.98104,1.56926,0.92638,0.90064,0.90339,0.43225,1.84998,1.04129,1.72602,0.009109,0.009109,0.009109
11,2588.35,1.26331,0.96615,1.56414,0.93405,0.91014,0.92694,0.48516,1.68394,1.10756,1.60814,0.00901,0.00901,0.00901
12,2819.13,1.24634,0.95043,1.54509,0.941,0.92115,0.92823,0.48469,1.70299,0.87182,1.58999,0.008911,0.008911,0.008911
13,3047.93,1.24001,0.93185,1.53916,0.94766,0.9242,0.93321,0.5064,1.62419,0.87305,1.53935,0.008812,0.008812,0.008812
14,3278.14,1.22899,0.92322,1.53539,0.94613,0.92056,0.93512,0.51505,1.5924,0.90346,1.51709,0.008713,0.008713,0.008713
15,3508.24,1.21974,0.91224,1.52692,0.94768,0.92206,0.93513,0.53659,1.53594,0.7893,1.48662,0.008614,0.008614,0.008614
16,3737.6,1.21108,0.90585,1.5219,0.94461,0.925,0.93917,0.51117,1.60061,0.84475,1.52436,0.008515,0.008515,0.008515
17,3965.76,1.20192,0.8904,1.51214,0.94076,0.91659,0.93324,0.54428,1.50225,0.74112,1.4682,0.008416,0.008416,0.008416
18,4194.91,1.20237,0.89163,1.5117,0.95033,0.93254,0.94414,0.56562,1.43524,0.76504,1.42568,0.008317,0.008317,0.008317
19,4424.18,1.19165,0.87827,1.5063,0.94914,0.92525,0.94033,0.54643,1.46771,0.77585,1.43784,0.008218,0.008218,0.008218
20,4654.16,1.18617,0.8701,1.50048,0.94473,0.92434,0.93478,0.54332,1.50736,0.69806,1.45828,0.008119,0.008119,0.008119
21,4883.89,1.18032,0.86728,1.49891,0.94927,0.92252,0.9358,0.53713,1.51766,0.74682,1.46241,0.00802,0.00802,0.00802
22,5112.55,1.17344,0.85638,1.48913,0.95352,0.93503,0.94723,0.56355,1.44254,0.69786,1.4167,0.007921,0.007921,0.007921
23,5342.79,1.1713,0.85505,1.48669,0.95127,0.93163,0.94488,0.56513,1.44009,0.69524,1.41556,0.007822,0.007822,0.007822
24,5571.48,1.16156,0.84495,1.47919,0.95131,0.93514,0.94757,0.57533,1.40548,0.69988,1.39339,0.007723,0.007723,0.007723
25,5800.53,1.16063,0.84297,1.48126,0.95145,0.93785,0.94863,0.57284,1.40742,0.71001,1.39491,0.007624,0.007624,0.007624
26,6029.14,1.15713,0.83894,1.47612,0.95485,0.93756,0.94956,0.57767,1.38616,0.71764,1.38066,0.007525,0.007525,0.007525
27,6260.55,1.14645,0.82789,1.46684,0.95408,0.93761,0.95015,0.58687,1.36545,0.71659,1.36759,0.007426,0.007426,0.007426
28,6491.26,1.1515,0.82548,1.46665,0.9576,0.93892,0.95189,0.5907,1.34711,0.68734,1.3579,0.007327,0.007327,0.007327
29,6721.35,1.15019,0.82145,1.46871,0.95727,0.93943,0.95178,0.59184,1.34273,0.68015,1.35851,0.007228,0.007228,0.007228
30,6951.61,1.14288,0.81529,1.46079,0.95507,0.94257,0.95133,0.58695,1.35371,0.68328,1.36434,0.007129,0.007129,0.007129
31,7182.38,1.14346,0.81347,1.46083,0.95603,0.94138,0.95138,0.59147,1.34037,0.67692,1.35686,0.00703,0.00703,0.00703
32,7413.3,1.13712,0.80629,1.4564,0.95371,0.94029,0.95206,0.59415,1.33477,0.66506,1.35326,0.006931,0.006931,0.006931
33,7643.31,1.13274,0.80951,1.45325,0.95417,0.93942,0.95242,0.59245,1.33599,0.66449,1.35374,0.006832,0.006832,0.006832
34,7874,1.13291,0.8028,1.45213,0.95671,0.93938,0.95227,0.59524,1.32983,0.66502,1.35006,0.006733,0.006733,0.006733
35,8104.94,1.12632,0.80417,1.44913,0.95643,0.94044,0.95268,0.59364,1.32985,0.663,1.34903,0.006634,0.006634,0.006634
36,8335.12,1.12141,0.79838,1.4454,0.95474,0.94229,0.9522,0.59494,1.32857,0.66224,1.34645,0.006535,0.006535,0.006535
37,8565.27,1.11439,0.7921,1.44063,0.95685,0.94211,0.9523,0.59509,1.32792,0.6535,1.34554,0.006436,0.006436,0.006436
38,8795.6,1.11947,0.79227,1.44018,0.95608,0.9426,0.95253,0.59577,1.32886,0.64961,1.34556,0.006337,0.006337,0.006337
39,9024.93,1.11751,0.7876,1.43895,0.95654,0.9431,0.95381,0.5971,1.3261,0.64766,1.34311,0.006238,0.006238,0.006238
40,9254.66,1.11062,0.78575,1.43422,0.9593,0.94166,0.95396,0.59774,1.32301,0.64607,1.34099,0.006139,0.006139,0.006139
41,9490.5,1.11241,0.78583,1.43469,0.95907,0.9412,0.9535,0.59834,1.3204,0.64712,1.33915,0.00604,0.00604,0.00604
42,9762.49,1.1093,0.78454,1.43511,0.9603,0.9412,0.95398,0.59943,1.31815,0.64488,1.33763,0.005941,0.005941,0.005941
43,10035.3,1.10387,0.77411,1.42728,0.96047,0.94127,0.95383,0.5992,1.31714,0.64484,1.33636,0.005842,0.005842,0.005842
44,10312.1,1.10265,0.7675,1.42993,0.961,0.94331,0.9539,0.59979,1.31325,0.64236,1.33412,0.005743,0.005743,0.005743
45,10613.3,1.10148,0.76596,1.42798,0.9619,0.94362,0.95431,0.60034,1.31272,0.64392,1.33311,0.005644,0.005644,0.005644
46,10917.8,1.09657,0.7653,1.42289,0.96158,0.94394,0.9542,0.60156,1.30891,0.64461,1.33089,0.005545,0.005545,0.005545
47,11218,1.09169,0.76275,1.41866,0.95998,0.94485,0.95442,0.60214,1.30695,0.64644,1.32928,0.005446,0.005446,0.005446
48,11470.2,1.09515,0.75722,1.41882,0.96059,0.9442,0.95445,0.60319,1.30364,0.65233,1.32737,0.005347,0.005347,0.005347
49,11721.2,1.09015,0.7572,1.41474,0.95922,0.94485,0.95445,0.60395,1.29832,0.65247,1.32449,0.005248,0.005248,0.005248
50,11969.3,1.08856,0.75494,1.41685,0.95858,0.94485,0.95437,0.60503,1.29579,0.65365,1.32294,0.005149,0.005149,0.005149
51,12221.2,1.07899,0.74785,1.41062,0.95707,0.94496,0.95464,0.60724,1.29233,0.65425,1.32104,0.00505,0.00505,0.00505
52,12467.5,1.077,0.74934,1.40633,0.95745,0.94485,0.95562,0.60862,1.28949,0.6503,1.31902,0.004951,0.004951,0.004951
53,12714.4,1.08211,0.75044,1.40522,0.95774,0.94576,0.95583,0.61015,1.28576,0.64655,1.31656,0.004852,0.004852,0.004852
54,12978.4,1.07293,0.73977,1.40357,0.9584,0.94576,0.95603,0.61126,1.28169,0.64677,1.31449,0.004753,0.004753,0.004753
55,13242,1.07638,0.74714,1.40565,0.95711,0.94622,0.95727,0.61162,1.27985,0.64424,1.31321,0.004654,0.004654,0.004654
56,13499.9,1.06799,0.73863,1.39864,0.95656,0.94576,0.95576,0.61118,1.27702,0.64257,1.31134,0.004555,0.004555,0.004555
57,13766.2,1.06873,0.73661,1.39862,0.95791,0.94531,0.95476,0.61264,1.27247,0.63839,1.30859,0.004456,0.004456,0.004456
58,14033.9,1.06769,0.73841,1.39773,0.95755,0.94586,0.95633,0.61475,1.26978,0.63728,1.30688,0.004357,0.004357,0.004357
59,14303.8,1.05984,0.7332,1.39491,0.95834,0.94531,0.95516,0.61564,1.2665,0.63653,1.30474,0.004258,0.004258,0.004258
60,14578.9,1.06343,0.72543,1.39515,0.95845,0.94632,0.95703,0.61784,1.26022,0.63331,1.30099,0.004159,0.004159,0.004159
61,14852.5,1.05699,0.72378,1.38989,0.9584,0.94576,0.95707,0.61884,1.25699,0.63037,1.29886,0.00406,0.00406,0.00406
62,15126.1,1.05355,0.72341,1.38925,0.95996,0.94576,0.95624,0.61946,1.25385,0.62899,1.2967,0.003961,0.003961,0.003961
63,15391.9,1.0498,0.71165,1.38611,0.96014,0.94531,0.95732,0.61938,1.25173,0.62967,1.29507,0.003862,0.003862,0.003862
